"","Site","Plot","Treatment","Species","PFT","tottally","blanktot","totabun","relabun","Year","type","rawabun","Native.Introduced"
"1","Antelope","1","2","BOER","PG4",1,0,1,0.0555555555555556,2021,"seedbank",NA,"N"
"2","Antelope","1","2","CHSE","A",1,0,1,0.0555555555555556,2021,"seedbank",NA,"N"
"3","Antelope","1","2","PLJA","PG4",1,0,1,0.0555555555555556,2021,"seedbank",NA,"N"
"4","Antelope","1","2","SATR","A",15,0,15,0.833333333333333,2021,"seedbank",NA,"I"
"5","Antelope","2","2","BASC","A",1,0,1,0.027027027027027,2021,"seedbank",NA,"I"
"6","Antelope","2","2","BOER","PG4",1,0,1,0.027027027027027,2021,"seedbank",NA,"N"
"7","Antelope","2","2","GUSA","S",3,0,3,0.0810810810810811,2021,"seedbank",NA,"N"
"8","Antelope","2","2","SATR","A",32,0,32,0.864864864864865,2021,"seedbank",NA,"I"
"9","Antelope","3","1","CHSE","A",1,0,1,0.0161290322580645,2021,"seedbank",NA,"N"
"10","Antelope","3","1","ERSP","A",1,0,1,0.0161290322580645,2021,"seedbank",NA,"N"
"11","Antelope","3","1","SATR","A",59,0,59,0.951612903225806,2021,"seedbank",NA,"I"
"12","Antelope","3","1","SPHA","PF",1,0,1,0.0161290322580645,2021,"seedbank",NA,"N"
"13","Antelope","4","3","ACMI","PF",4,0,4,0.0851063829787234,2021,"seedbank",NA,"N"
"14","Antelope","4","3","ERSP","A",4,0,4,0.0851063829787234,2021,"seedbank",NA,"N"
"15","Antelope","4","3","MEMO","A",1,0,1,0.0212765957446809,2021,"seedbank",NA,"N"
"16","Antelope","4","3","SATR","A",37,0,37,0.787234042553192,2021,"seedbank",NA,"I"
"17","Antelope","4","3","TAOF","PF",2,1,1,0.0212765957446809,2021,"seedbank",NA,"I"
"18","Antelope","5","2","BOER","PG4",5,0,5,0.161290322580645,2021,"seedbank",NA,"N"
"19","Antelope","5","2","ERSP","A",12,0,12,0.387096774193548,2021,"seedbank",NA,"N"
"20","Antelope","5","2","PLJA","PG4",2,0,2,0.0645161290322581,2021,"seedbank",NA,"N"
"21","Antelope","5","2","SATR","A",12,0,12,0.387096774193548,2021,"seedbank",NA,"I"
"22","Antelope","6","3","CHSE","A",1,0,1,0.0588235294117647,2021,"seedbank",NA,"N"
"23","Antelope","6","3","GUSA","S",2,0,2,0.117647058823529,2021,"seedbank",NA,"N"
"24","Antelope","6","3","SATR","A",14,0,14,0.823529411764706,2021,"seedbank",NA,"I"
"25","Antelope","7","1","ERSP","A",2,0,2,0.0357142857142857,2021,"seedbank",NA,"N"
"26","Antelope","7","1","SATR","A",53,0,53,0.946428571428571,2021,"seedbank",NA,"I"
"27","Antelope","7","1","SPHA","PF",1,0,1,0.0178571428571429,2021,"seedbank",NA,"N"
"28","Antelope","8","1","BASC","A",1,0,1,0.125,2021,"seedbank",NA,"I"
"29","Antelope","8","1","BOER","PG4",1,0,1,0.125,2021,"seedbank",NA,"N"
"30","Antelope","8","1","SATR","A",6,0,6,0.75,2021,"seedbank",NA,"I"
"31","Antelope","9","3","SATR","A",18,0,18,1,2021,"seedbank",NA,"I"
"32","Antelope","10","1","BASC","A",1,0,1,0.0555555555555556,2021,"seedbank",NA,"I"
"33","Antelope","10","1","SATR","A",17,0,17,0.944444444444444,2021,"seedbank",NA,"I"
"34","Antelope","11","2","BASC","A",1,0,1,0.0277777777777778,2021,"seedbank",NA,"I"
"35","Antelope","11","2","BOER","PG4",3,0,3,0.0833333333333333,2021,"seedbank",NA,"N"
"36","Antelope","11","2","ERSP","A",2,0,2,0.0555555555555556,2021,"seedbank",NA,"N"
"37","Antelope","11","2","MEMO","A",1,0,1,0.0277777777777778,2021,"seedbank",NA,"N"
"38","Antelope","11","2","PEVI","PF",2,0,2,0.0555555555555556,2021,"seedbank",NA,"N"
"39","Antelope","11","2","SATR","A",26,0,26,0.722222222222222,2021,"seedbank",NA,"I"
"40","Antelope","11","2","SPHA","PF",1,0,1,0.0277777777777778,2021,"seedbank",NA,"N"
"41","Antelope","11","2","TAOF","PF",1,1,0,0,2021,"seedbank",NA,"I"
"42","Antelope","12","3","GUSA","S",1,0,1,0.0185185185185185,2021,"seedbank",NA,"N"
"43","Antelope","12","3","PLJA","PG4",1,0,1,0.0185185185185185,2021,"seedbank",NA,"N"
"44","Antelope","12","3","SATR","A",52,0,52,0.962962962962963,2021,"seedbank",NA,"I"
"45","Arboretum","1","3","ACMI","PF",2,0,2,0.0344827586206897,2021,"seedbank",NA,"N"
"46","Arboretum","1","3","ARFE","PF",3,0,3,0.0517241379310345,2021,"seedbank",NA,"N"
"47","Arboretum","1","3","ERFL","A",1,0,1,0.0172413793103448,2021,"seedbank",NA,"N"
"48","Arboretum","1","3","ERSP","A",40,0,40,0.689655172413793,2021,"seedbank",NA,"N"
"49","Arboretum","1","3","LUKI","A",1,0,1,0.0172413793103448,2021,"seedbank",NA,"N"
"50","Arboretum","1","3","SPHA","PF",6,0,6,0.103448275862069,2021,"seedbank",NA,"N"
"51","Arboretum","1","3","TAOF","PF",6,1,5,0.0862068965517241,2021,"seedbank",NA,"I"
"52","Arboretum","2","1","ACMI","PF",1,0,1,0.0303030303030303,2021,"seedbank",NA,"N"
"53","Arboretum","2","1","ARFE","PF",4,0,4,0.121212121212121,2021,"seedbank",NA,"N"
"54","Arboretum","2","1","CHSE","A",2,0,2,0.0606060606060606,2021,"seedbank",NA,"N"
"55","Arboretum","2","1","ELEL","PG3",1,0,1,0.0303030303030303,2021,"seedbank",NA,"N"
"56","Arboretum","2","1","ERSP","A",14,0,14,0.424242424242424,2021,"seedbank",NA,"N"
"57","Arboretum","2","1","LUKI","A",1,0,1,0.0303030303030303,2021,"seedbank",NA,"N"
"58","Arboretum","2","1","MUMO","PG4",1,0,1,0.0303030303030303,2021,"seedbank",NA,"N"
"59","Arboretum","2","1","PEVI","PF",1,0,1,0.0303030303030303,2021,"seedbank",NA,"N"
"60","Arboretum","2","1","SPHA","PF",6,0,6,0.181818181818182,2021,"seedbank",NA,"N"
"61","Arboretum","2","1","TAOF","PF",3,1,2,0.0606060606060606,2021,"seedbank",NA,"I"
"62","Arboretum","3","2","ACMI","PF",4,0,4,0.0396039603960396,2021,"seedbank",NA,"N"
"63","Arboretum","3","2","ARCA","PF",2,0,2,0.0198019801980198,2021,"seedbank",NA,"N"
"64","Arboretum","3","2","ARFE","PF",22,0,22,0.217821782178218,2021,"seedbank",NA,"N"
"65","Arboretum","3","2","ASHU","PF",1,0,1,0.0099009900990099,2021,"seedbank",NA,"N"
"66","Arboretum","3","2","ERSP","A",20,0,20,0.198019801980198,2021,"seedbank",NA,"N"
"67","Arboretum","3","2","PEVI","PF",1,0,1,0.0099009900990099,2021,"seedbank",NA,"N"
"68","Arboretum","3","2","POHI","PF",4,0,4,0.0396039603960396,2021,"seedbank",NA,"N"
"69","Arboretum","3","2","SPHA","PF",42,0,42,0.415841584158416,2021,"seedbank",NA,"N"
"70","Arboretum","3","2","TAOF","PF",6,1,5,0.0495049504950495,2021,"seedbank",NA,"I"
"71","Arboretum","4","3","ACMI","PF",5,0,5,0.0354609929078014,2021,"seedbank",NA,"N"
"72","Arboretum","4","3","ARCA","PF",1,0,1,0.00709219858156028,2021,"seedbank",NA,"N"
"73","Arboretum","4","3","ARFE","PF",7,0,7,0.049645390070922,2021,"seedbank",NA,"N"
"74","Arboretum","4","3","ASHU","PF",1,0,1,0.00709219858156028,2021,"seedbank",NA,"N"
"75","Arboretum","4","3","CHAL","A",1,0,1,0.00709219858156028,2021,"seedbank",NA,"I"
"76","Arboretum","4","3","ERSP","A",72,0,72,0.51063829787234,2021,"seedbank",NA,"N"
"77","Arboretum","4","3","LUKI","A",1,0,1,0.00709219858156028,2021,"seedbank",NA,"N"
"78","Arboretum","4","3","PEVI","PF",1,0,1,0.00709219858156028,2021,"seedbank",NA,"N"
"79","Arboretum","4","3","POHI","PF",1,0,1,0.00709219858156028,2021,"seedbank",NA,"N"
"80","Arboretum","4","3","SPHA","PF",15,0,15,0.106382978723404,2021,"seedbank",NA,"N"
"81","Arboretum","4","3","TAOF","PF",29,1,28,0.198581560283688,2021,"seedbank",NA,"I"
"82","Arboretum","4","3","VETH","A",12,4,8,0.0567375886524823,2021,"seedbank",NA,"I"
"83","Arboretum","5","1","ARFE","PF",16,0,16,0.533333333333333,2021,"seedbank",NA,"N"
"84","Arboretum","5","1","ELEL","PG3",6,0,6,0.2,2021,"seedbank",NA,"N"
"85","Arboretum","5","1","ERSP","A",5,0,5,0.166666666666667,2021,"seedbank",NA,"N"
"86","Arboretum","5","1","SPHA","PF",1,0,1,0.0333333333333333,2021,"seedbank",NA,"N"
"87","Arboretum","5","1","TAOF","PF",3,1,2,0.0666666666666667,2021,"seedbank",NA,"I"
"88","Arboretum","5","1","VETH","A",1,4,0,0,2021,"seedbank",NA,"I"
"89","Arboretum","6","1","ARCA","PF",4,0,4,0.148148148148148,2021,"seedbank",NA,"N"
"90","Arboretum","6","1","ASHU","PF",1,0,1,0.037037037037037,2021,"seedbank",NA,"N"
"91","Arboretum","6","1","BLTR","PG4",4,0,4,0.148148148148148,2021,"seedbank",NA,"N"
"92","Arboretum","6","1","ELEL","PG3",5,0,5,0.185185185185185,2021,"seedbank",NA,"N"
"93","Arboretum","6","1","TAOF","PF",14,1,13,0.481481481481481,2021,"seedbank",NA,"I"
"94","Arboretum","6","1","VETH","A",1,4,0,0,2021,"seedbank",NA,"I"
