"","Site","Treatment","Plot","type1","type2","bray","site_byelev","trt_order","elevation","elevfact"
"1","Antelope","Water Addition",1,"aboveground","seedbank",0.187862997340281,"Antelope","Water Addition",1636,"1636"
"2","Antelope","Water Addition",2,"aboveground","seedbank",0.318113754081057,"Antelope","Water Addition",1636,"1636"
"3","Antelope","Control",3,"aboveground","seedbank",0.220088626292467,"Antelope","Control",1636,"1636"
"4","Antelope","Water Exclusion",4,"aboveground","seedbank",0.212765957446808,"Antelope","Water Exclusion",1636,"1636"
"5","Antelope","Water Addition",5,"aboveground","seedbank",0.387096774193549,"Antelope","Water Addition",1636,"1636"
"6","Antelope","Water Exclusion",6,"aboveground","seedbank",0.20217835262083,"Antelope","Water Exclusion",1636,"1636"
"7","Antelope","Control",7,"aboveground","seedbank",0.377842283502661,"Antelope","Control",1636,"1636"
"8","Antelope","Control",8,"aboveground","seedbank",0.314303482587065,"Antelope","Control",1636,"1636"
"9","Antelope","Water Exclusion",9,"aboveground","seedbank",0.0011614401858302,"Antelope","Water Exclusion",1636,"1636"
"10","Antelope","Control",10,"aboveground","seedbank",0.162854528819762,"Antelope","Control",1636,"1636"
"11","Antelope","Water Addition",11,"aboveground","seedbank",0.194444444444444,"Antelope","Water Addition",1636,"1636"
"12","Antelope","Water Exclusion",12,"aboveground","seedbank",0.0370370370370369,"Antelope","Water Exclusion",1636,"1636"
"13","Arboretum","Water Exclusion",1,"aboveground","seedbank",0.965810762074494,"Arboretum","Water Exclusion",2179,"2179"
"14","Arboretum","Control",2,"aboveground","seedbank",0.895619926671133,"Arboretum","Control",2179,"2179"
"15","Arboretum","Water Addition",3,"aboveground","seedbank",0.877538973409536,"Arboretum","Water Addition",2179,"2179"
"16","Arboretum","Water Exclusion",4,"aboveground","seedbank",0.960213073680153,"Arboretum","Water Exclusion",2179,"2179"
"17","Arboretum","Control",5,"aboveground","seedbank",0.943620356970574,"Arboretum","Control",2179,"2179"
"18","Arboretum","Control",6,"aboveground","seedbank",0.783266934153753,"Arboretum","Control",2179,"2179"
"19","Arboretum","Water Exclusion",7,"aboveground","seedbank",0.962807438512298,"Arboretum","Water Exclusion",2179,"2179"
"20","Arboretum","Water Addition",8,"aboveground","seedbank",0.971060348819262,"Arboretum","Water Addition",2179,"2179"
"21","Arboretum","Water Addition",9,"aboveground","seedbank",0.823760564607476,"Arboretum","Water Addition",2179,"2179"
"22","Arboretum","Water Exclusion",10,"aboveground","seedbank",0.961820249186096,"Arboretum","Water Exclusion",2179,"2179"
"23","Arboretum","Control",11,"aboveground","seedbank",0.897648034254871,"Arboretum","Control",2179,"2179"
"24","Arboretum","Water Addition",12,"aboveground","seedbank",0.91713856385569,"Arboretum","Water Addition",2179,"2179"
"25","Black Point","Water Exclusion",2,"aboveground","seedbank",0.654300168634064,"Black Point","Water Exclusion",1566,"1566"
"26","Black Point","Control",3,"aboveground","seedbank",0.734345351043643,"Black Point","Control",1566,"1566"
"27","Black Point","Water Exclusion",4,"aboveground","seedbank",0.765477015477015,"Black Point","Water Exclusion",1566,"1566"
"28","Black Point","Control",5,"aboveground","seedbank",0.842787682333874,"Black Point","Control",1566,"1566"
"29","Black Point","Control",6,"aboveground","seedbank",0.637243047158404,"Black Point","Control",1566,"1566"
"30","Black Point","Water Exclusion",7,"aboveground","seedbank",0.748780487804878,"Black Point","Water Exclusion",1566,"1566"
