"","Site","Plot","Treatment","Year","type","BOER","CHSE","PLJA","SATR","BASC","GUSA","ERSP","SPHA","ACMI","MEMO","TAOF","PEVI","ARFE","ERFL","LUKI","ELEL","MUMO","ARCA","ASHU","POHI","CHAL","VETH","BLTR","ANRO","POOL","CAJA","DAPU","BOGR","MEAL","CHER","AMDI","BRPO","POPR","HYHO","IRMI","OXLA"
"1","Antelope","1","2",2021,"seedbank",0.0555555555555556,0.0555555555555556,0.0555555555555556,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Antelope","2","2",2021,"seedbank",0.027027027027027,NA,NA,0.864864864864865,0.027027027027027,0.0810810810810811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Antelope","3","1",2021,"seedbank",NA,0.0161290322580645,NA,0.951612903225806,NA,NA,0.0161290322580645,0.0161290322580645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Antelope","4","3",2021,"seedbank",NA,NA,NA,0.787234042553192,NA,NA,0.0851063829787234,NA,0.0851063829787234,0.0212765957446809,0.0212765957446809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Antelope","5","2",2021,"seedbank",0.161290322580645,NA,0.0645161290322581,0.387096774193548,NA,NA,0.387096774193548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Antelope","6","3",2021,"seedbank",NA,0.0588235294117647,NA,0.823529411764706,NA,0.117647058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Antelope","7","1",2021,"seedbank",NA,NA,NA,0.946428571428571,NA,NA,0.0357142857142857,0.0178571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Antelope","8","1",2021,"seedbank",0.125,NA,NA,0.75,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Antelope","9","3",2021,"seedbank",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Antelope","10","1",2021,"seedbank",NA,NA,NA,0.944444444444444,0.0555555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Antelope","11","2",2021,"seedbank",0.0833333333333333,NA,NA,0.722222222222222,0.0277777777777778,NA,0.0555555555555556,0.0277777777777778,NA,0.0277777777777778,0,0.0555555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Antelope","12","3",2021,"seedbank",NA,NA,0.0185185185185185,0.962962962962963,NA,0.0185185185185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Arboretum","1","3",2021,"seedbank",NA,NA,NA,NA,NA,NA,0.689655172413793,0.103448275862069,0.0344827586206897,NA,0.0862068965517241,NA,0.0517241379310345,0.0172413793103448,0.0172413793103448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Arboretum","2","1",2021,"seedbank",NA,0.0606060606060606,NA,NA,NA,NA,0.424242424242424,0.181818181818182,0.0303030303030303,NA,0.0606060606060606,0.0303030303030303,0.121212121212121,NA,0.0303030303030303,0.0303030303030303,0.0303030303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Arboretum","3","2",2021,"seedbank",NA,NA,NA,NA,NA,NA,0.198019801980198,0.415841584158416,0.0396039603960396,NA,0.0495049504950495,0.0099009900990099,0.217821782178218,NA,NA,NA,NA,0.0198019801980198,0.0099009900990099,0.0396039603960396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Arboretum","4","3",2021,"seedbank",NA,NA,NA,NA,NA,NA,0.51063829787234,0.106382978723404,0.0354609929078014,NA,0.198581560283688,0.00709219858156028,0.049645390070922,NA,0.00709219858156028,NA,NA,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.00709219858156028,0.0567375886524823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Arboretum","5","1",2021,"seedbank",NA,NA,NA,NA,NA,NA,0.166666666666667,0.0333333333333333,NA,NA,0.0666666666666667,NA,0.533333333333333,NA,NA,0.2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Arboretum","6","1",2021,"seedbank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.481481481481481,NA,NA,NA,NA,0.185185185185185,NA,0.148148148148148,0.037037037037037,NA,NA,0,0.148148148148148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Arboretum","7","3",2021,"seedbank",NA,NA,NA,NA,NA,NA,0.264462809917355,0.00826446280991736,0.00826446280991736,NA,0.528925619834711,NA,0.0661157024793388,NA,NA,0.0495867768595041,NA,NA,NA,NA,0.00826446280991736,NA,0.0330578512396694,0.0330578512396694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Arboretum","8","2",2021,"seedbank",NA,NA,NA,NA,NA,NA,NA,0.0555555555555556,NA,NA,0.25,0.0833333333333333,0.0555555555555556,NA,0.0277777777777778,NA,NA,NA,NA,NA,0.138888888888889,NA,0.305555555555556,NA,0.0833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Arboretum","9","2",2021,"seedbank",NA,NA,NA,NA,NA,NA,0.260869565217391,0.195652173913043,0.0217391304347826,NA,NA,NA,0.326086956521739,NA,NA,0.108695652173913,NA,0.0652173913043478,0.0217391304347826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Arboretum","10","3",2021,"seedbank",NA,NA,NA,NA,NA,NA,0.456140350877193,0.087719298245614,NA,NA,0.315789473684211,0.0350877192982456,0.0701754385964912,0.0175438596491228,NA,NA,NA,NA,NA,NA,0.0175438596491228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
