"","Species","PFT","Native.Introduced"
"1","POOL","A","I"
"2","TAOF","PF","I"
"3","VETH","A","I"
"4","BOER","PG4","N"
"5","CHSE","A","N"
"6","PLJA","PG4","N"
"7","SATR","A","I"
"8","BASC","A","I"
"9","GUSA","S","N"
"10","ERSP","A","N"
"11","SPHA","PF","N"
"12","ACMI","PF","N"
"13","MEMO","A","N"
"14","PEVI","PF","N"
"15","CAJA","PF","N"
"16","ERFL","A","N"
"17","DAPU","PG4","N"
"18","BOGR","PG4","N"
"19","ELEL","PG3","N"
"20","MEAL","A","N"
"21","LUKI","A","N"
"22","CHER","PF","N"
"23","AMDI","PF","N"
"24","ANRO","PF","N"
"25","BRPO","PG3","N"
"26","MUMO","PG4","N"
"27","POPR","PG3","I"
"28","POHI","PF","N"
"29","ARFE","PF","N"
"30","HYHO","PF","N"
"31","IRMI","PF","N"
"32","OXLA","PF","N"
"33","ARCA","PF","N"
"34","ASHU","PF","N"
"35","CHAL","A","I"
"36","BLTR","PG4","N"
"37","CHSES","A","N"
"38","KOAM","PF","I"
"39","CHEN","A","I"
"40","LILE","PF","N"
"41","UKFO","A",NA
"42","ATCO","S","N"
"43","EPVI","S","N"
"44","SPAI","PG4","N"
"45","KRLA","S","N"
"46","CHRE","A","N"
"47","ERNA","S","N"
"48","HECO","PG3","N"
"49","JUMO","S","N"
"50","HELO","A","N"
"51","ZIGR","PF","N"
"52","ARPU","PG4","N"
"53","BOGR ","PG4","N"
"54","SOEL","PF","N"
"55","GLGO","PF","N"
"56","CHDE","S","N"
"57","STTE","PF","N"
"58","ATCA","S","N"
"59","CAGE","PG3","N"
"60","CAPA","PF","N"
"61","ERFO","PF","N"
"62","ERRA","PF","N"
"63","FEAR","PG3","N"
"64","GETR","PF","N"
"65","ROWO","S","N"
"66","VIAM","PF","N"
"67","ASSP","PF","N"
"68","LUAR","PF","N"
"69","TRDU","A","I"
"70","CIWH","PF","N"
"71","PTAQ","PF","N"
"72","COAR","PF","I"
"73","LASE","A","I"
"74","PLRI","PG4","N"
"75","PSMO","PF","N"
"76","UKGR","PG3",NA
"77","ALGE","PF","N"
"78","EPBR","A","N"
"79","MURI","PG4","N"
"80","PODO","A","N"
"81","MESP","A","N"
