"","iid","Date_Time","Value","Date","hour"
"1","02",2021-12-14 12:19:00,24.097,2021-12-14,12
"2","02",2021-12-14 13:59:00,20.596,2021-12-14,13
"3","02",2021-12-14 15:39:00,21.096,2021-12-14,15
"4","02",2021-12-14 17:19:00,20.095,2021-12-15,17
"5","02",2021-12-14 18:59:00,19.094,2021-12-15,18
"6","02",2021-12-14 20:39:00,18.594,2021-12-15,20
"7","02",2021-12-14 22:19:00,17.593,2021-12-15,22
"8","02",2021-12-14 23:59:00,16.591,2021-12-15,23
"9","02",2021-12-15 01:39:00,15.59,2021-12-15,1
"10","02",2021-12-15 03:19:00,14.087,2021-12-15,3
"11","02",2021-12-15 04:59:00,13.085,2021-12-15,4
"12","02",2021-12-15 06:39:00,13.085,2021-12-15,6
"13","02",2021-12-15 08:19:00,13.586,2021-12-15,8
"14","02",2021-12-15 09:59:00,17.593,2021-12-15,9
"15","02",2021-12-15 11:39:00,19.595,2021-12-15,11
"16","02",2021-12-15 13:19:00,21.596,2021-12-15,13
"17","02",2021-12-15 14:59:00,5.566,2021-12-15,14
"18","02",2021-12-15 16:39:00,2.054,2021-12-16,16
"19","02",2021-12-15 18:19:00,1.552,2021-12-16,18
"20","02",2021-12-15 19:59:00,1.051,2021-12-16,19
"21","02",2021-12-15 21:39:00,0.549,2021-12-16,21
"22","02",2021-12-15 23:19:00,-0.455,2021-12-16,23
"23","02",2021-12-16 00:59:00,-1.46,2021-12-16,0
"24","02",2021-12-16 02:39:00,-2.464,2021-12-16,2
"25","02",2021-12-16 04:19:00,-2.966,2021-12-16,4
"26","02",2021-12-16 05:59:00,-3.468,2021-12-16,5
"27","02",2021-12-16 07:39:00,-3.971,2021-12-16,7
"28","02",2021-12-16 09:19:00,-3.468,2021-12-16,9
"29","02",2021-12-16 10:59:00,-0.957,2021-12-16,10
"30","02",2021-12-16 12:39:00,1.552,2021-12-16,12
"31","02",2021-12-16 14:19:00,2.556,2021-12-16,14
"32","02",2021-12-16 15:59:00,2.556,2021-12-16,15
