,Year,Site,Treatment,Plot,Quadrat,Species,Obs,Canopy_cover,Count,PFT
1,2021,Desert grassland,W,1,1,BOER,1,2,1,PG4
2,2021,Desert grassland,W,1,1,BOER,2,3,1,PG4
3,2021,Desert grassland,W,1,1,BOER,3,0.25,2,PG4
4,2021,Desert grassland,W,1,1,BOER,4,1,2,PG4
5,2021,Desert grassland,W,1,1,BOER,5,1.5,1,PG4
6,2021,Desert grassland,W,1,1,BOER,6,0.1,3,PG4
7,2021,Desert grassland,W,1,2,BOER,1,2,3,PG4
8,2021,Desert grassland,W,1,2,BOER,2,1,2,PG4
9,2021,Desert grassland,W,1,2,BOER,3,0.5,2,PG4
10,2021,Desert grassland,W,2,1,BOER,1,1,2,PG4
11,2021,Desert grassland,W,2,1,BOER,2,2,1,PG4
12,2021,Desert grassland,W,2,1,BOER,3,0.5,3,PG4
13,2021,Desert grassland,W,2,1,BOER,4,0.25,2,PG4
14,2021,Desert grassland,W,2,1,BOER,5,0.1,3,PG4
15,2021,Desert grassland,W,2,2,BOER,1,2,2,PG4
16,2021,Desert grassland,W,2,2,BOER,2,3,1,PG4
17,2021,Desert grassland,W,2,2,BOER,3,1,4,PG4
18,2021,Desert grassland,W,2,2,BOER,4,0.5,5,PG4
19,2021,Desert grassland,W,2,2,BOER,5,0.05,1,PG4
20,2021,Desert grassland,C,3,1,BOER,1,2.5,1,PG4
21,2021,Desert grassland,C,3,1,BOER,2,0.25,4,PG4
22,2021,Desert grassland,C,3,1,BOER,3,0.1,3,PG4
23,2021,Desert grassland,C,3,2,BOER,1,0.5,1,PG4
24,2021,Desert grassland,C,3,2,BOER,2,0.25,2,PG4
25,2021,Desert grassland,D,4,2,BOER,1,0.5,1,PG4
26,2021,Desert grassland,D,4,2,BOER,2,0.1,1,PG4
27,2021,Desert grassland,W,5,1,BOER,1,5,1,PG4
28,2021,Desert grassland,W,5,1,BOER,2,3,1,PG4
29,2021,Desert grassland,W,5,1,BOER,3,2,2,PG4
30,2021,Desert grassland,W,5,1,BOER,4,0.5,2,PG4
31,2021,Desert grassland,W,5,1,BOER,5,0.25,1,PG4
32,2021,Desert grassland,W,5,1,BOER,6,0.05,3,PG4
33,2021,Desert grassland,W,5,2,BOER,1,3,3,PG4
34,2021,Desert grassland,W,5,2,BOER,2,2,4,PG4
35,2021,Desert grassland,W,5,2,BOER,3,1,2,PG4
36,2021,Desert grassland,W,5,2,BOER,4,0.25,2,PG4
37,2021,Desert grassland,W,5,2,BOER,5,0.5,1,PG4
38,2021,Desert grassland,W,5,2,BOER,6,0.05,2,PG4
39,2021,Desert grassland,D,6,1,BOER,1,1,1,PG4
40,2021,Desert grassland,D,6,1,BOER,2,0.5,1,PG4
41,2021,Desert grassland,C,7,1,BOER,1,1.5,1,PG4
42,2021,Desert grassland,C,7,1,BOER,2,1,2,PG4
43,2021,Desert grassland,C,7,2,BOER,1,3,2,PG4
44,2021,Desert grassland,C,7,2,BOER,2,2,3,PG4
45,2021,Desert grassland,C,7,2,BOER,3,1,2,PG4
46,2021,Desert grassland,C,7,2,BOER,4,0.5,1,PG4
47,2021,Desert grassland,C,7,2,BOER,5,0.1,6,PG4
48,2021,Desert grassland,C,7,2,BOER,6,0.25,4,PG4
49,2021,Desert grassland,C,8,1,BOER,1,3,1,PG4
50,2021,Desert grassland,C,8,1,BOER,2,2,2,PG4
51,2021,Desert grassland,C,8,1,BOER,3,0.25,1,PG4
52,2021,Desert grassland,C,8,1,BOER,4,0.1,3,PG4
53,2021,Desert grassland,C,8,2,BOER,1,3,2,PG4
54,2021,Desert grassland,C,8,2,BOER,2,2,2,PG4
55,2021,Desert grassland,C,8,2,BOER,3,1,2,PG4
56,2021,Desert grassland,C,8,2,BOER,4,0.05,2,PG4
57,2021,Desert grassland,C,10,1,BOER,1,4,1,PG4
