"","Year","Site","Treatment","Plot","Quadrat","Species","Obs","Canopy_cover","Height_cm","Count","NPP_g_m2","PFT"
"1",2015,"ANT","C",3,1,"BOER",1,5,"35",2,42.366,"PG4"
"2",2015,"ANT","C",3,1,"BOER",2,1,"12",1,4.2366,"PG4"
"3",2015,"ANT","C",3,1,"BOER",3,0.25,"5",1,1.05915,"PG4"
"4",2015,"ANT","C",3,1,"BOER",4,1,"15",1,4.2366,"PG4"
"5",2015,"ANT","C",3,1,"CHRE",1,0.1,"5",2,0.0249,"A"
"6",2015,"ANT","C",3,1,"CHSES",1,0.05,"3",1,0.01557,"A"
"7",2015,"ANT","C",3,1,"PLJA",1,2,"35",1,4.0648,"PG4"
"8",2015,"ANT","C",3,1,"PLJA",2,0.25,"15",3,1.5243,"PG4"
"9",2015,"ANT","C",3,1,"PLJA",3,0.5,"30",3,3.0486,"PG4"
"10",2015,"ANT","C",3,1,"PLJA",4,1.5,"25",6,18.2916,"PG4"
"11",2015,"ANT","C",3,1,"PLJA",5,2,"30",2,8.1296,"PG4"
"12",2015,"ANT","C",3,1,"PLJA",6,1,"25",3,6.0972,"PG4"
"13",2015,"ANT","C",3,1,"PLJA",7,3,"25",2,12.1944,"PG4"
"14",2015,"ANT","C",3,1,"PLJA",8,1,"35",2,4.0648,"PG4"
"15",2015,"ANT","C",3,1,"PLJA",9,3,"35",2,12.1944,"PG4"
"16",2015,"ANT","C",3,1,"PLJA",10,2,"30",1,4.0648,"PG4"
"17",2015,"ANT","C",3,1,"PLJA",11,1,"25",2,4.0648,"PG4"
"18",2015,"ANT","C",3,1,"PLJA",12,0.5,"20",4,4.0648,"PG4"
"19",2015,"ANT","C",3,2,"BOER",1,3,"25",1,12.7098,"PG4"
"20",2015,"ANT","C",3,2,"BOER",2,1,"20",1,4.2366,"PG4"
"21",2015,"ANT","C",3,2,"BOER",3,20,"25",1,84.732,"PG4"
"22",2015,"ANT","C",3,2,"BOER",4,0.5,"15",3,6.3549,"PG4"
"23",2015,"ANT","C",3,2,"BOER",5,0.25,"10",5,5.29575,"PG4"
"24",2015,"ANT","C",3,2,"CAJA",1,2,"20",1,5.69,"PF"
"25",2015,"ANT","C",3,2,"CHRE",1,0.25,"2",3,0.093375,"A"
"26",2015,"ANT","C",3,2,"CHSES",1,0.1,"3",1,0.03114,"A"
"27",2015,"ANT","C",3,2,"KOAM",1,0.1,"20",1,0.8395,"PF"
"28",2015,"ANT","C",3,2,"KOAM",2,2,"65",1,16.79,"PF"
"29",2015,"ANT","C",3,2,"PLJA",1,1,"25",8,16.2592,"PG4"
"30",2015,"ANT","C",3,2,"PLJA",2,1.5,"30",4,12.1944,"PG4"
"31",2015,"ANT","C",3,2,"PLJA",3,0.5,"20",7,7.1134,"PG4"
"32",2015,"ANT","C",3,2,"PLJA",4,2,"30",1,4.0648,"PG4"
"33",2015,"ANT","C",3,2,"SATR",1,0.1,"8",1,0.864,"A"
"34",2015,"ANT","C",7,1,"BOER",1,7,"20",3,88.9686,"PG4"
"35",2015,"ANT","C",7,1,"BOER",2,6,"25",1,25.4196,"PG4"
"36",2015,"ANT","C",7,1,"BOER",3,8,"20",1,33.8928,"PG4"
"37",2015,"ANT","C",7,1,"BOER",4,0.5,"10",8,16.9464,"PG4"
"38",2015,"ANT","C",7,1,"BOER",5,0.25,"5",5,5.29575,"PG4"
"39",2015,"ANT","C",7,1,"BOER",6,1,"20",2,8.4732,"PG4"
"40",2015,"ANT","C",7,1,"CHRE",1,0.25,"8",3,0.093375,"A"
"41",2015,"ANT","C",7,1,"CHRE",2,0.1,"5",1,0.01245,"A"
"42",2015,"ANT","C",7,1,"CHSES",1,0.1,"4",1,0.03114,"A"
"43",2015,"ANT","C",7,1,"CHSES",2,0.25,"3",1,0.07785,"A"
"44",2015,"ANT","C",7,1,"KOAM",1,0.25,"25",1,2.09875,"PF"
"45",2015,"ANT","C",7,1,"PLJA",1,4,"40",1,8.1296,"PG4"
"46",2015,"ANT","C",7,1,"PLJA",2,1,"15",2,4.0648,"PG4"
"47",2015,"ANT","C",7,1,"PLJA",3,0.5,"15",4,4.0648,"PG4"
"48",2015,"ANT","C",7,1,"PLJA",4,0.1,"20",1,0.20324,"PG4"
"49",2015,"ANT","C",7,2,"BOER",1,3,"28",1,12.7098,"PG4"
"50",2015,"ANT","C",7,2,"BOER",2,1,"12",1,4.2366,"PG4"
"51",2015,"ANT","C",7,2,"BOER",3,0.5,"10",1,2.1183,"PG4"
"52",2015,"ANT","C",7,2,"CHSES",1,0.1,"1",2,0.06228,"A"
"53",2015,"ANT","C",7,2,"CHSES",2,0.25,"4",1,0.07785,"A"
"54",2015,"ANT","C",7,2,"PLJA",1,1,"27",10,20.324,"PG4"
"55",2015,"ANT","C",7,2,"PLJA",2,1.5,"38",3,9.1458,"PG4"
