,Species,Site,Plot,Tally,last_updated
1,ACMI,Ponderosa pine meadow,1,2,7/18/2022
2,ACMI,Ponderosa pine meadow,2,1,7/18/2022
3,ACMI,Ponderosa pine meadow,3,4,7/18/2022
4,ACMI,Ponderosa pine meadow,4,5,7/18/2022
5,ACMI,Ponderosa pine meadow,7,1,7/18/2022
6,ACMI,Ponderosa pine meadow,9,1,7/18/2022
7,ACMI,Ponderosa pine meadow,11,4,7/18/2022
8,ACMI,Desert grassland,4,4,7/18/2022
9,ACMI,Mixed conifer meadow,10,3,7/18/2022
10,AMDI,Juniper savanna,10,1,7/18/2022
11,ANRO,Ponderosa pine meadow,7,4,7/18/2022
12,ANRO,Ponderosa pine meadow,12,1,7/18/2022
13,ANRO,Mixed conifer meadow,1,27,6/20/2022
14,ANRO,Mixed conifer meadow,2,10,7/18/2022
15,ANRO,Mixed conifer meadow,3,12,7/18/2022
16,ANRO,Mixed conifer meadow,4,4,7/18/2022
17,ANRO,Mixed conifer meadow,5,1,6/20/2022
18,ANRO,Mixed conifer meadow,6,10,7/18/2022
19,ANRO,Mixed conifer meadow,7,2,7/18/2022
20,ANRO,Mixed conifer meadow,8,5,6/23/2022
21,ANRO,Mixed conifer meadow,9,14,7/18/2022
22,ANRO,Mixed conifer meadow,10,1,6/20/2022
23,ANRO,Mixed conifer meadow,11,12,6/23/2022
24,ANRO,Mixed conifer meadow,12,13,7/18/2022
25,ARCA,Ponderosa pine meadow,3,2,7/18/2022
26,ARCA,Ponderosa pine meadow,4,1,7/18/2022
27,ARCA,Ponderosa pine meadow,6,4,7/18/2022
28,ARCA,Ponderosa pine meadow,9,3,7/18/2022
29,ARCA,Ponderosa pine meadow,11,2,7/18/2022
30,ARCA,Ponderosa pine meadow,12,1,7/18/2022
31,ASHU,Ponderosa pine meadow,3,1,7/18/2022
32,ASHU,Ponderosa pine meadow,4,1,7/18/2022
33,ASHU,Ponderosa pine meadow,6,1,7/18/2022
34,ASHU,Ponderosa pine meadow,9,1,7/18/2022
35,BASC,Desert scrub,10,2,5/31/2022
36,BASC,Juniper savanna,1,7,6/22/2022
37,BASC,Juniper savanna,2,1,7/18/2022
38,BASC,Juniper savanna,3,3,7/18/2022
39,BASC,Juniper savanna,4,1,6/22/2022
40,BASC,Juniper savanna,5,1,6/22/2022
41,BASC,Juniper savanna,6,6,6/22/2022
42,BASC,Juniper savanna,7,1,6/22/2022
43,BASC,Juniper savanna,8,3,6/22/2022
44,BASC,Juniper savanna,10,7,6/22/2022
45,BASC,Juniper savanna,11,2,7/18/2022
46,BASC,Juniper savanna,12,3,7/18/2022
47,BASC,Desert grassland,2,1,6/22/2022
48,BASC,Desert grassland,8,1,7/18/2022
49,BASC,Desert grassland,10,1,7/18/2022
50,BASC,Desert grassland,11,1,6/22/2022
51,BOER,Desert grassland,1,1,7/18/2022
52,BOER,Desert grassland,2,1,6/23/2022
53,BOER,Desert grassland,5,5,7/18/2022
54,BOER,Desert grassland,8,1,7/18/2022
55,BOER,Desert grassland,11,3,6/23/2022
56,BOER,Desert scrub,4,3,6/23/2022
57,BOER,Desert scrub,5,1,7/18/2022
58,BOER,Desert scrub,9,1,7/18/2022
59,BOER,Desert scrub,10,1,6/23/2022
60,BOGR,Juniper savanna,1,3,7/18/2022
61,BOGR,Juniper savanna,2,6,7/18/2022
62,BOGR,Juniper savanna,3,4,7/18/2022
63,BOGR,Juniper savanna,4,1,7/18/2022
64,BOGR,Juniper savanna,5,1,7/18/2022
65,BOGR,Juniper savanna,6,16,7/18/2022
66,BOGR,Juniper savanna,7,8,7/18/2022
67,BOGR,Juniper savanna,8,2,7/18/2022
68,BOGR,Juniper savanna,9,4,7/18/2022
69,BOGR,Juniper savanna,10,1,7/18/2022
70,BOGR,Juniper savanna,11,2,7/18/2022
71,BOGR,Juniper savanna,12,2,7/18/2022
72,BRPO,Mixed conifer meadow,1,3,6/22/2022
73,BRPO,Mixed conifer meadow,3,1,6/22/2022
74,BRPO,Mixed conifer meadow,7,2,6/22/2022
75,BRPO,Mixed conifer meadow,11,1,6/22/2022
76,CHAL,Ponderosa pine meadow,4,1,7/5/2022
77,CHAL,Ponderosa pine meadow,7,1,6/23/2022
78,CHAL,Ponderosa pine meadow,8,5,6/23/2022
79,CHAL,Ponderosa pine meadow,10,1,6/23/2022
