Species,Site,Tray,Tally,last_updated
ACMI,Arboretum,1,2,7/18/22
ACMI,Arboretum,2,1,7/18/22
ACMI,Arboretum,3,4,7/18/22
ACMI,Arboretum,4,5,7/18/22
ACMI,Arboretum,7,1,7/18/22
ACMI,Arboretum,9,1,7/18/22
ACMI,Arboretum,11,4,7/18/22
ACMI,Antelope,4,4,7/18/22
ACMI,Camp Colton,10,3,7/18/22
AMDI,Blue Chute,10,1,7/18/22
ANRO,Arboretum,7,4,7/18/22
ANRO,Arboretum,12,1,7/18/22
ANRO,Camp Colton,1,27,6/20/22
ANRO,Camp Colton,2,10,7/18/22
ANRO,Camp Colton,3,12,7/18/22
ANRO,Camp Colton,4,4,7/18/22
ANRO,Camp Colton,5,1,6/20/22
ANRO,Camp Colton,6,10,7/18/22
ANRO,Camp Colton,7,2,7/18/22
ANRO,Camp Colton,8,5,6/23/22
ANRO,Camp Colton,9,14,7/18/22
ANRO,Camp Colton,10,1,6/20/22
ANRO,Camp Colton,11,12,6/23/22
ANRO,Camp Colton,12,13,7/18/22
ARCA,Arboretum,3,2,7/18/22
ARCA,Arboretum,4,1,7/18/22
ARCA,Arboretum,6,4,7/18/22
ARCA,Arboretum,9,3,7/18/22
ARCA,Arboretum,11,2,7/18/22
ARCA,Arboretum,12,1,7/18/22
ASHU,Arboretum,3,1,7/18/22
ASHU,Arboretum,4,1,7/18/22
ASHU,Arboretum,6,1,7/18/22
ASHU,Arboretum,9,1,7/18/22
BASC,Black Point,10,2,5/31/22
BASC,Blue Chute,1,7,6/22/22
BASC,Blue Chute,2,1,7/18/22
BASC,Blue Chute,3,3,7/18/22
BASC,Blue Chute,4,1,6/22/22
BASC,Blue Chute,5,1,6/22/22
BASC,Blue Chute,6,6,6/22/22
BASC,Blue Chute,7,1,6/22/22
BASC,Blue Chute,8,3,6/22/22
BASC,Blue Chute,10,7,6/22/22
BASC,Blue Chute,11,2,7/18/22
BASC,Blue Chute,12,3,7/18/22
BASC,Antelope,2,1,6/22/22
BASC,Antelope,8,1,7/18/22
BASC,Antelope,10,1,7/18/22
BASC,Antelope,11,1,6/22/22
BOER,Antelope,1,1,7/18/22
