"Plot Title: Air1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10551626, SEN S/N: 10551626)","Coupler Attached (LGR S/N: 10551626)","Host Connected (LGR S/N: 10551626)","Coupler Detached (LGR S/N: 10551626)","Stopped (LGR S/N: 10551626)","End Of File (LGR S/N: 10551626)"
1,05/12/22 02:00:00 PM,23.292,,,,,
2,05/12/22 03:00:00 PM,25.125,,,,,
3,05/12/22 04:00:00 PM,31.268,,,,,
4,05/12/22 05:00:00 PM,28.456,,,,,
5,05/12/22 06:00:00 PM,17.475,,,,,
6,05/12/22 07:00:00 PM,15.664,,,,,
7,05/12/22 08:00:00 PM,14.134,,,,,
8,05/12/22 09:00:00 PM,12.594,,,,,
9,05/12/22 10:00:00 PM,11.528,,,,,
10,05/12/22 11:00:00 PM,11.334,,,,,
11,05/13/22 12:00:00 AM,10.651,,,,,
12,05/13/22 01:00:00 AM,10.455,,,,,
13,05/13/22 02:00:00 AM,10.553,,,,,
14,05/13/22 03:00:00 AM,10.357,,,,,
15,05/13/22 04:00:00 AM,10.161,,,,,
16,05/13/22 05:00:00 AM,10.063,,,,,
17,05/13/22 06:00:00 AM,10.553,,,,,
18,05/13/22 07:00:00 AM,17.475,,,,,
19,05/13/22 08:00:00 AM,24.738,,,,,
20,05/13/22 09:00:00 AM,16.046,,,,,
21,05/13/22 10:00:00 AM,24.351,,,,,
22,05/13/22 11:00:00 AM,30.054,,,,,
23,05/13/22 12:00:00 PM,29.752,,,,,
24,05/13/22 01:00:00 PM,33.326,,,,,
25,05/13/22 02:00:00 PM,23.773,,,,,
26,05/13/22 03:00:00 PM,24.738,,,,,
27,05/13/22 04:00:00 PM,26.390,,,,,
28,05/13/22 05:00:00 PM,26.292,,,,,
29,05/13/22 06:00:00 PM,18.331,,,,,
30,05/13/22 07:00:00 PM,16.427,,,,,
31,05/13/22 08:00:00 PM,15.473,,,,,
32,05/13/22 09:00:00 PM,14.134,,,,,
33,05/13/22 10:00:00 PM,12.594,,,,,
34,05/13/22 11:00:00 PM,11.625,,,,,
35,05/14/22 12:00:00 AM,11.041,,,,,
36,05/14/22 01:00:00 AM,10.944,,,,,
37,05/14/22 02:00:00 AM,10.455,,,,,
38,05/14/22 03:00:00 AM,10.455,,,,,
39,05/14/22 04:00:00 AM,10.259,,,,,
40,05/14/22 05:00:00 AM,10.161,,,,,
41,05/14/22 06:00:00 AM,10.357,,,,,
42,05/14/22 07:00:00 AM,18.331,,,,,
43,05/14/22 08:00:00 AM,23.100,,,,,
44,05/14/22 09:00:00 AM,19.187,,,,,
45,05/14/22 10:00:00 AM,26.292,,,,,
46,05/14/22 11:00:00 AM,25.902,,,,,
47,05/14/22 12:00:00 PM,32.497,,,,,
48,05/14/22 01:00:00 PM,33.118,,,,,
49,05/14/22 02:00:00 PM,24.738,,,,,
50,05/14/22 03:00:00 PM,26.097,,,,,
51,05/14/22 04:00:00 PM,26.488,,,,,
52,05/14/22 05:00:00 PM,27.665,,,,,
53,05/14/22 06:00:00 PM,19.187,,,,,
54,05/14/22 07:00:00 PM,16.713,,,,,
55,05/14/22 08:00:00 PM,15.855,,,,,
56,05/14/22 09:00:00 PM,14.517,,,,,
57,05/14/22 10:00:00 PM,13.558,,,,,
58,05/14/22 11:00:00 PM,12.401,,,,,
59,05/15/22 12:00:00 AM,12.013,,,,,
60,05/15/22 01:00:00 AM,11.916,,,,,
61,05/15/22 02:00:00 AM,11.431,,,,,
62,05/15/22 03:00:00 AM,11.528,,,,,
63,05/15/22 04:00:00 AM,11.528,,,,,
64,05/15/22 05:00:00 AM,11.528,,,,,
65,05/15/22 06:00:00 AM,12.110,,,,,
66,05/15/22 07:00:00 AM,18.616,,,,,
67,05/15/22 08:00:00 AM,23.966,,,,,
68,05/15/22 09:00:00 AM,18.140,,,,,
69,05/15/22 10:00:00 AM,25.610,,,,,
70,05/15/22 11:00:00 AM,30.862,,,,,
71,05/15/22 12:00:00 PM,27.567,,,,,
72,05/15/22 01:00:00 PM,33.118,,,,,
73,05/15/22 02:00:00 PM,24.931,,,,,
74,05/15/22 03:00:00 PM,26.781,,,,,
75,05/15/22 04:00:00 PM,33.326,,,,,
76,05/15/22 05:00:00 PM,23.773,,,,,
77,05/15/22 06:00:00 PM,19.948,,,,,
78,05/15/22 07:00:00 PM,17.379,,,,,
