"Plot Title: Air2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10597857, SEN S/N: 10597857)","Coupler Attached (LGR S/N: 10597857)","Coupler Detached (LGR S/N: 10597857)","Host Connected (LGR S/N: 10597857)","Stopped (LGR S/N: 10597857)","End Of File (LGR S/N: 10597857)"
1,05/12/22 02:00:00 PM,20.901,,,,,
2,05/12/22 03:00:00 PM,17.475,,,,,
3,05/12/22 04:00:00 PM,18.711,,,,,
4,05/12/22 05:00:00 PM,24.835,,,,,
5,05/12/22 06:00:00 PM,20.901,,,,,
6,05/12/22 07:00:00 PM,15.664,,,,,
7,05/12/22 08:00:00 PM,14.134,,,,,
8,05/12/22 09:00:00 PM,12.787,,,,,
9,05/12/22 10:00:00 PM,11.625,,,,,
10,05/12/22 11:00:00 PM,11.528,,,,,
11,05/13/22 12:00:00 AM,10.846,,,,,
12,05/13/22 01:00:00 AM,10.357,,,,,
13,05/13/22 02:00:00 AM,10.161,,,,,
14,05/13/22 03:00:00 AM,9.965,,,,,
15,05/13/22 04:00:00 AM,9.669,,,,,
16,05/13/22 05:00:00 AM,9.571,,,,,
17,05/13/22 06:00:00 AM,10.063,,,,,
18,05/13/22 07:00:00 AM,16.046,,,,,
19,05/13/22 08:00:00 AM,26.292,,,,,
20,05/13/22 09:00:00 AM,24.255,,,,,
21,05/13/22 10:00:00 AM,28.456,,,,,
22,05/13/22 11:00:00 AM,34.058,,,,,
23,05/13/22 12:00:00 PM,31.370,,,,,
24,05/13/22 01:00:00 PM,24.545,,,,,
25,05/13/22 02:00:00 PM,23.677,,,,,
26,05/13/22 03:00:00 PM,20.234,,,,,
27,05/13/22 04:00:00 PM,22.621,,,,,
28,05/13/22 05:00:00 PM,27.370,,,,,
29,05/13/22 06:00:00 PM,20.901,,,,,
30,05/13/22 07:00:00 PM,16.141,,,,,
31,05/13/22 08:00:00 PM,15.569,,,,,
32,05/13/22 09:00:00 PM,14.421,,,,,
33,05/13/22 10:00:00 PM,13.076,,,,,
34,05/13/22 11:00:00 PM,12.013,,,,,
35,05/14/22 12:00:00 AM,11.431,,,,,
36,05/14/22 01:00:00 AM,11.041,,,,,
37,05/14/22 02:00:00 AM,10.651,,,,,
