"Plot Title: Air3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10551601, SEN S/N: 10551601)","End Of File (LGR S/N: 10551601)"
1,06/10/22 10:00:00 AM,34.268,
2,06/10/22 11:00:00 AM,35.115,
3,06/10/22 12:00:00 PM,27.567,
4,06/10/22 01:00:00 PM,29.352,
5,06/10/22 02:00:00 PM,28.456,
6,06/10/22 03:00:00 PM,23.196,
7,06/10/22 04:00:00 PM,19.092,
8,06/10/22 05:00:00 PM,18.901,
9,06/10/22 06:00:00 PM,18.331,
10,06/10/22 07:00:00 PM,18.331,
11,06/10/22 08:00:00 PM,17.760,
12,06/10/22 09:00:00 PM,17.950,
13,06/10/22 10:00:00 PM,17.094,
14,06/10/22 11:00:00 PM,15.760,
15,06/11/22 12:00:00 AM,15.473,
16,06/11/22 01:00:00 AM,14.996,
17,06/11/22 02:00:00 AM,14.996,
18,06/11/22 03:00:00 AM,14.900,
19,06/11/22 04:00:00 AM,14.517,
20,06/11/22 05:00:00 AM,14.517,
21,06/11/22 06:00:00 AM,15.473,
22,06/11/22 07:00:00 AM,18.616,
23,06/11/22 08:00:00 AM,30.356,
24,06/11/22 09:00:00 AM,24.738,
25,06/11/22 10:00:00 AM,32.086,
26,06/11/22 11:00:00 AM,31.983,
27,06/11/22 12:00:00 PM,38.938,
28,06/11/22 01:00:00 PM,38.268,
29,06/11/22 02:00:00 PM,35.649,
30,06/11/22 03:00:00 PM,46.465,
31,06/11/22 04:00:00 PM,41.108,
32,06/11/22 05:00:00 PM,42.282,
33,06/11/22 06:00:00 PM,33.535,
34,06/11/22 07:00:00 PM,24.641,
35,06/11/22 08:00:00 PM,22.238,
36,06/11/22 09:00:00 PM,20.901,
37,06/11/22 10:00:00 PM,19.187,
38,06/11/22 11:00:00 PM,17.665,
39,06/12/22 12:00:00 AM,16.237,
40,06/12/22 01:00:00 AM,15.664,
41,06/12/22 02:00:00 AM,14.804,
42,06/12/22 03:00:00 AM,14.709,
43,06/12/22 04:00:00 AM,14.421,
44,06/12/22 05:00:00 AM,13.942,
45,06/12/22 06:00:00 AM,15.187,
46,06/12/22 07:00:00 AM,20.615,
47,06/12/22 08:00:00 AM,35.115,
48,06/12/22 09:00:00 AM,30.255,
49,06/12/22 10:00:00 AM,37.935,
50,06/12/22 11:00:00 AM,37.824,
51,06/12/22 12:00:00 PM,44.828,
52,06/12/22 01:00:00 PM,45.452,
53,06/12/22 02:00:00 PM,35.222,
54,06/12/22 03:00:00 PM,42.998,
55,06/12/22 04:00:00 PM,44.828,
56,06/12/22 05:00:00 PM,31.166,
57,06/12/22 06:00:00 PM,33.953,
58,06/12/22 07:00:00 PM,24.351,
59,06/12/22 08:00:00 PM,21.473,
60,06/12/22 09:00:00 PM,20.138,
61,06/12/22 10:00:00 PM,18.901,
62,06/12/22 11:00:00 PM,18.236,
63,06/13/22 12:00:00 AM,17.760,
64,06/13/22 01:00:00 AM,17.094,
65,06/13/22 02:00:00 AM,16.903,
66,06/13/22 03:00:00 AM,16.808,
67,06/13/22 04:00:00 AM,16.427,
68,06/13/22 05:00:00 AM,15.760,
69,06/13/22 06:00:00 AM,16.332,
70,06/13/22 07:00:00 AM,21.951,
71,06/13/22 08:00:00 AM,35.864,
72,06/13/22 09:00:00 AM,34.374,
73,06/13/22 10:00:00 AM,42.639,
74,06/13/22 11:00:00 AM,41.458,
75,06/13/22 12:00:00 PM,49.768,
76,06/13/22 01:00:00 PM,49.768,
77,06/13/22 02:00:00 PM,31.064,
78,06/13/22 03:00:00 PM,41.458,
79,06/13/22 04:00:00 PM,44.457,
80,06/13/22 05:00:00 PM,41.225,
81,06/13/22 06:00:00 PM,37.165,
82,06/13/22 07:00:00 PM,19.948,
83,06/13/22 08:00:00 PM,18.426,
84,06/13/22 09:00:00 PM,17.189,
85,06/13/22 10:00:00 PM,16.332,
86,06/13/22 11:00:00 PM,14.900,
87,06/14/22 12:00:00 AM,14.134,
88,06/14/22 01:00:00 AM,14.325,
89,06/14/22 02:00:00 AM,13.750,
90,06/14/22 03:00:00 AM,13.461,
91,06/14/22 04:00:00 AM,13.365,
92,06/14/22 05:00:00 AM,13.173,
93,06/14/22 06:00:00 AM,13.942,
94,06/14/22 07:00:00 AM,18.616,
95,06/14/22 08:00:00 AM,32.497,
96,06/14/22 09:00:00 AM,29.552,
97,06/14/22 10:00:00 AM,35.328,
98,06/14/22 11:00:00 AM,35.222,
99,06/14/22 12:00:00 PM,41.810,
100,06/14/22 01:00:00 PM,42.401,
101,06/14/22 02:00:00 PM,32.807,
102,06/14/22 03:00:00 PM,40.530,
103,06/14/22 04:00:00 PM,42.998,
104,06/14/22 05:00:00 PM,42.401,
105,06/14/22 06:00:00 PM,36.946,
106,06/14/22 07:00:00 PM,24.835,
107,06/14/22 08:00:00 PM,20.615,
108,06/14/22 09:00:00 PM,18.140,
109,06/14/22 10:00:00 PM,16.332,
110,06/14/22 11:00:00 PM,13.750,
111,06/15/22 12:00:00 AM,13.846,
112,06/15/22 01:00:00 AM,13.654,
113,06/15/22 02:00:00 AM,13.269,
114,06/15/22 03:00:00 AM,12.594,
115,06/15/22 04:00:00 AM,12.304,
116,06/15/22 05:00:00 AM,12.013,
117,06/15/22 06:00:00 AM,12.980,
118,06/15/22 07:00:00 AM,17.665,
119,06/15/22 08:00:00 AM,31.064,
120,06/15/22 09:00:00 AM,29.552,
121,06/15/22 10:00:00 AM,35.009,
122,06/15/22 11:00:00 AM,35.864,
123,06/15/22 12:00:00 PM,41.575,
124,06/15/22 01:00:00 PM,41.575,
125,06/15/22 02:00:00 PM,33.535,
126,06/15/22 03:00:00 PM,41.108,
127,06/15/22 04:00:00 PM,43.844,
128,06/15/22 05:00:00 PM,43.238,
129,06/15/22 06:00:00 PM,38.714,
130,06/15/22 07:00:00 PM,27.075,
131,06/15/22 08:00:00 PM,21.855,
132,06/15/22 09:00:00 PM,18.140,
133,06/15/22 10:00:00 PM,16.141,
134,06/15/22 11:00:00 PM,14.709,
135,06/16/22 12:00:00 AM,14.613,
136,06/16/22 01:00:00 AM,14.134,
137,06/16/22 02:00:00 AM,13.558,
138,06/16/22 03:00:00 AM,13.365,
139,06/16/22 04:00:00 AM,12.787,
140,06/16/22 05:00:00 AM,12.304,
141,06/16/22 06:00:00 AM,13.365,
142,06/16/22 07:00:00 AM,18.996,
143,06/16/22 08:00:00 AM,35.971,
144,06/16/22 09:00:00 AM,31.268,
145,06/16/22 10:00:00 AM,40.071,
146,06/16/22 11:00:00 AM,29.853,
147,06/16/22 12:00:00 PM,42.401,
148,06/16/22 01:00:00 PM,43.601,
149,06/16/22 02:00:00 PM,34.691,
150,06/16/22 03:00:00 PM,41.810,
151,06/16/22 04:00:00 PM,38.046,
152,06/16/22 05:00:00 PM,39.389,
153,06/16/22 06:00:00 PM,35.328,
154,06/16/22 07:00:00 PM,25.319,
155,06/16/22 08:00:00 PM,21.855,
156,06/16/22 09:00:00 PM,18.996,
157,06/16/22 10:00:00 PM,17.855,
158,06/16/22 11:00:00 PM,17.094,
159,06/17/22 12:00:00 AM,16.141,
160,06/17/22 01:00:00 AM,14.996,
161,06/17/22 02:00:00 AM,14.804,
162,06/17/22 03:00:00 AM,14.613,
163,06/17/22 04:00:00 AM,14.804,
