Plot Title: Blank3,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 10597815, SEN S/N: 10597815)"
1,5/11/2022 12:00,23.292
2,5/11/2022 13:00,24.351
3,5/11/2022 14:00,23.869
4,5/11/2022 15:00,20.805
5,5/11/2022 16:00,18.711
6,5/11/2022 17:00,20.329
7,5/11/2022 18:00,15.378
8,5/11/2022 19:00,12.883
9,5/11/2022 20:00,11.236
10,5/11/2022 21:00,10.259
11,5/11/2022 22:00,9.571
12,5/11/2022 23:00,9.176
13,5/12/2022 0:00,9.275
14,5/12/2022 1:00,9.077
15,5/12/2022 2:00,8.779
16,5/12/2022 3:00,8.581
17,5/12/2022 4:00,8.382
18,5/12/2022 5:00,8.282
19,5/12/2022 6:00,8.382
20,5/12/2022 7:00,11.819
21,5/12/2022 8:00,16.999
22,5/12/2022 9:00,19.282
23,5/12/2022 10:00,16.523
24,5/12/2022 11:00,18.14
25,5/12/2022 12:00,24.158
26,5/12/2022 13:00,26.39
27,5/12/2022 14:00,28.258
28,5/12/2022 15:00,27.665
29,5/12/2022 16:00,21.855
30,5/12/2022 17:00,22.812
31,5/12/2022 18:00,16.618
32,5/12/2022 19:00,14.517
33,5/12/2022 20:00,13.558
34,5/12/2022 21:00,12.401
35,5/12/2022 22:00,11.236
36,5/12/2022 23:00,10.748
37,5/13/2022 0:00,10.161
38,5/13/2022 1:00,9.768
39,5/13/2022 2:00,9.472
40,5/13/2022 3:00,9.373
41,5/13/2022 4:00,9.176
42,5/13/2022 5:00,8.978
43,5/13/2022 6:00,9.176
44,5/13/2022 7:00,12.98
45,5/13/2022 8:00,17.95
46,5/13/2022 9:00,20.138
47,5/13/2022 10:00,18.045
48,5/13/2022 11:00,19.853
49,5/13/2022 12:00,23.966
50,5/13/2022 13:00,26.39
51,5/13/2022 14:00,28.06
52,5/13/2022 15:00,27.075
53,5/13/2022 16:00,22.429
54,5/13/2022 17:00,23.292
55,5/13/2022 18:00,17.76
56,5/13/2022 19:00,15.282
57,5/13/2022 20:00,15.091
58,5/13/2022 21:00,14.23
59,5/13/2022 22:00,12.883
60,5/13/2022 23:00,11.528
61,5/14/2022 0:00,10.846
62,5/14/2022 1:00,10.455
63,5/14/2022 2:00,10.063
64,5/14/2022 3:00,9.768
65,5/14/2022 4:00,9.571
66,5/14/2022 5:00,9.373
67,5/14/2022 6:00,9.373
68,5/14/2022 7:00,13.461
69,5/14/2022 8:00,18.426
70,5/14/2022 9:00,20.996
71,5/14/2022 10:00,19.377
72,5/14/2022 11:00,18.806
73,5/14/2022 12:00,24.448
74,5/14/2022 13:00,26.488
75,5/14/2022 14:00,28.06
76,5/14/2022 15:00,27.075
77,5/14/2022 16:00,22.238
78,5/14/2022 17:00,23.388
79,5/14/2022 18:00,18.616
80,5/14/2022 19:00,15.855
81,5/14/2022 20:00,15.473
82,5/14/2022 21:00,14.709
83,5/14/2022 22:00,13.75
84,5/14/2022 23:00,12.883
85,5/15/2022 0:00,12.013
86,5/15/2022 1:00,11.625
87,5/15/2022 2:00,11.236
88,5/15/2022 3:00,11.041
89,5/15/2022 4:00,10.944
90,5/15/2022 5:00,10.846
91,5/15/2022 6:00,11.139
92,5/15/2022 7:00,14.804
93,5/15/2022 8:00,18.711
94,5/15/2022 9:00,20.996
95,5/15/2022 10:00,19.377
96,5/15/2022 11:00,21.091
97,5/15/2022 12:00,24.062
98,5/15/2022 13:00,26.488
99,5/15/2022 14:00,27.862
100,5/15/2022 15:00,27.075
101,5/15/2022 16:00,23.773
102,5/15/2022 17:00,23.292
103,5/15/2022 18:00,18.806
104,5/15/2022 19:00,16.141
105,5/15/2022 20:00,15.187
106,5/15/2022 21:00,13.654
107,5/15/2022 22:00,14.038
108,5/15/2022 23:00,13.942
109,5/16/2022 0:00,13.846
110,5/16/2022 1:00,13.75
111,5/16/2022 2:00,13.365
112,5/16/2022 3:00,12.594
113,5/16/2022 4:00,11.819
114,5/16/2022 5:00,11.431
115,5/16/2022 6:00,11.528
116,5/16/2022 7:00,15.951
117,5/16/2022 8:00,19.758
118,5/16/2022 9:00,21.473
119,5/16/2022 10:00,18.806
120,5/16/2022 11:00,20.615
121,5/16/2022 12:00,24.835
122,5/16/2022 13:00,26.488
123,5/16/2022 14:00,27.764
124,5/16/2022 15:00,26
125,5/16/2022 16:00,23.1
126,5/16/2022 17:00,23.773
127,5/16/2022 18:00,18.996
128,5/16/2022 19:00,16.141
129,5/16/2022 20:00,14.996
130,5/16/2022 21:00,13.846
131,5/16/2022 22:00,13.654
132,5/16/2022 23:00,13.269
133,5/17/2022 0:00,12.69
134,5/17/2022 1:00,11.916
135,5/17/2022 2:00,11.625
136,5/17/2022 3:00,11.431
137,5/17/2022 4:00,11.334
138,5/17/2022 5:00,11.334
139,5/17/2022 6:00,11.528
140,5/17/2022 7:00,15.76
141,5/17/2022 8:00,19.282
142,5/17/2022 9:00,21.473
143,5/17/2022 10:00,18.616
144,5/17/2022 11:00,21.473
145,5/17/2022 12:00,25.222
146,5/17/2022 13:00,26.488
147,5/17/2022 14:00,27.665
148,5/17/2022 15:00,26.781
149,5/17/2022 16:00,23.677
150,5/17/2022 17:00,24.158
151,5/17/2022 18:00,19.662
152,5/17/2022 19:00,16.618
153,5/17/2022 20:00,15.473
154,5/17/2022 21:00,14.325
155,5/17/2022 22:00,14.038
156,5/17/2022 23:00,13.654
157,5/18/2022 0:00,13.269
158,5/18/2022 1:00,12.594
159,5/18/2022 2:00,12.013
160,5/18/2022 3:00,11.916
161,5/18/2022 4:00,11.625
162,5/18/2022 5:00,11.528
163,5/18/2022 6:00,11.722
164,5/18/2022 7:00,15.569
165,5/18/2022 8:00,19.187
166,5/18/2022 9:00,20.901
167,5/18/2022 10:00,19.472
168,5/18/2022 11:00,21.282
169,5/18/2022 12:00,25.416
170,5/18/2022 13:00,26.39
171,5/18/2022 14:00,27.37
172,5/18/2022 15:00,26.39
173,5/18/2022 16:00,23.292
174,5/18/2022 17:00,24.158
175,5/18/2022 18:00,19.758
176,5/18/2022 19:00,16.713
177,5/18/2022 20:00,15.569
178,5/18/2022 21:00,14.613
179,5/18/2022 22:00,14.421
180,5/18/2022 23:00,14.038
181,5/19/2022 0:00,13.558
182,5/19/2022 1:00,12.98
183,5/19/2022 2:00,12.401
184,5/19/2022 3:00,11.916
185,5/19/2022 4:00,11.722
186,5/19/2022 5:00,11.625
187,5/19/2022 6:00,11.722
188,5/19/2022 7:00,15.664
189,5/19/2022 8:00,19.472
190,5/19/2022 9:00,21.378
191,5/19/2022 10:00,19.853
192,5/19/2022 11:00,21.855
193,5/19/2022 12:00,25.222
194,5/19/2022 13:00,26.292
195,5/19/2022 14:00,27.567
196,5/19/2022 15:00,24.351
197,5/19/2022 16:00,21.187
198,5/19/2022 17:00,20.519
199,5/19/2022 18:00,17.855
200,5/19/2022 19:00,16.332
201,5/19/2022 20:00,14.996
202,5/19/2022 21:00,13.942
203,5/19/2022 22:00,13.173
204,5/19/2022 23:00,12.98
205,5/20/2022 0:00,12.883
206,5/20/2022 1:00,12.787
207,5/20/2022 2:00,12.401
208,5/20/2022 3:00,12.013
209,5/20/2022 4:00,11.722
210,5/20/2022 5:00,11.528
211,5/20/2022 6:00,11.528
212,5/20/2022 7:00,14.996
213,5/20/2022 8:00,19.282
214,5/20/2022 9:00,20.996
215,5/20/2022 10:00,19.092
216,5/20/2022 11:00,21.282
217,5/20/2022 12:00,26.195
218,5/20/2022 13:00,27.075
219,5/20/2022 14:00,27.764
220,5/20/2022 15:00,27.468
221,5/20/2022 16:00,23.292
222,5/20/2022 17:00,24.545
223,5/20/2022 18:00,19.282
224,5/20/2022 19:00,15.378
225,5/20/2022 20:00,14.325
226,5/20/2022 21:00,13.461
227,5/20/2022 22:00,13.076
228,5/20/2022 23:00,12.787
229,5/21/2022 0:00,13.173
230,5/21/2022 1:00,13.173
231,5/21/2022 2:00,12.883
232,5/21/2022 3:00,12.304
233,5/21/2022 4:00,12.11
234,5/21/2022 5:00,12.207
235,5/21/2022 6:00,12.497
236,5/21/2022 7:00,16.046
237,5/21/2022 8:00,19.948
238,5/21/2022 9:00,19.853
239,5/21/2022 10:00,19.662
240,5/21/2022 11:00,22.142
241,5/21/2022 12:00,26.879
242,5/21/2022 13:00,27.567
243,5/21/2022 14:00,28.258
244,5/21/2022 15:00,28.258
245,5/21/2022 16:00,24.062
246,5/21/2022 17:00,25.028
247,5/21/2022 18:00,19.472
248,5/21/2022 19:00,15.951
249,5/21/2022 20:00,14.613
250,5/21/2022 21:00,13.558
251,5/21/2022 22:00,13.173
252,5/21/2022 23:00,13.076
253,5/22/2022 0:00,12.883
254,5/22/2022 1:00,12.497
255,5/22/2022 2:00,12.013
256,5/22/2022 3:00,11.625
257,5/22/2022 4:00,11.528
258,5/22/2022 5:00,11.431
259,5/22/2022 6:00,11.722
260,5/22/2022 7:00,16.523
261,5/22/2022 8:00,20.71
262,5/22/2022 9:00,22.525
263,5/22/2022 10:00,20.043
264,5/22/2022 11:00,22.525
265,5/22/2022 12:00,26.781
266,5/22/2022 13:00,28.754
267,5/22/2022 14:00,29.252
268,5/22/2022 15:00,28.555
269,5/22/2022 16:00,22.717
270,5/22/2022 17:00,24.158
271,5/22/2022 18:00,19.187
272,5/22/2022 19:00,15.855
273,5/22/2022 20:00,14.517
274,5/22/2022 21:00,13.461
275,5/22/2022 22:00,12.69
276,5/22/2022 23:00,13.076
277,5/23/2022 0:00,13.269
278,5/23/2022 1:00,13.076
279,5/23/2022 2:00,12.787
280,5/23/2022 3:00,12.304
281,5/23/2022 4:00,12.013
282,5/23/2022 5:00,11.625
283,5/23/2022 6:00,12.013
284,5/23/2022 7:00,16.523
285,5/23/2022 8:00,21.091
286,5/23/2022 9:00,21.951
287,5/23/2022 10:00,19.472
288,5/23/2022 11:00,22.429
289,5/23/2022 12:00,24.448
290,5/23/2022 13:00,19.377
291,5/23/2022 14:00,18.331
292,5/23/2022 15:00,18.236
293,5/23/2022 16:00,16.903
294,5/23/2022 17:00,17.094
295,5/23/2022 18:00,17.189
296,5/23/2022 19:00,15.76
297,5/23/2022 20:00,15.091
298,5/23/2022 21:00,14.134
299,5/23/2022 22:00,13.461
300,5/23/2022 23:00,12.594
301,5/24/2022 0:00,12.013
302,5/24/2022 1:00,11.528
303,5/24/2022 2:00,11.041
304,5/24/2022 3:00,10.651
305,5/24/2022 4:00,10.259
306,5/24/2022 5:00,10.063
307,5/24/2022 6:00,10.357
308,5/24/2022 7:00,15.569
309,5/24/2022 8:00,19.758
310,5/24/2022 9:00,21.473
311,5/24/2022 10:00,18.236
312,5/24/2022 11:00,21.569
313,5/24/2022 12:00,26
314,5/24/2022 13:00,27.468
315,5/24/2022 14:00,28.953
316,5/24/2022 15:00,28.06
317,5/24/2022 16:00,21.378
318,5/24/2022 17:00,23.292
319,5/24/2022 18:00,18.711
320,5/24/2022 19:00,16.046
321,5/24/2022 20:00,15.282
322,5/24/2022 21:00,14.23
323,5/24/2022 22:00,13.558
324,5/24/2022 23:00,13.365
325,5/25/2022 0:00,12.69
326,5/25/2022 1:00,11.916
327,5/25/2022 2:00,11.528
328,5/25/2022 3:00,11.334
329,5/25/2022 4:00,11.236
