Plot Title: 10597831,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 10597831, SEN S/N: 10597831)"
1,5/11/2022 12:00,18.996
2,5/11/2022 13:00,18.996
3,5/11/2022 14:00,21.855
4,5/11/2022 14:26,
5,5/11/2022 14:26,
6,5/11/2022 14:27,
7,5/11/2022 14:27,
8,5/11/2022 14:27,
9,5/11/2022 14:27,
10,5/11/2022 14:28,
11,5/11/2022 14:28,
12,5/11/2022 14:28,
13,5/11/2022 14:28,
14,5/11/2022 14:28,
15,5/11/2022 14:28,
16,5/11/2022 14:28,
17,5/11/2022 14:29,
18,5/11/2022 14:29,
19,5/11/2022 14:30,
20,5/11/2022 15:00,20.615
21,5/11/2022 16:00,19.092
22,5/11/2022 17:00,20.615
23,5/11/2022 18:00,16.046
24,5/11/2022 19:00,12.401
25,5/11/2022 20:00,10.748
26,5/11/2022 21:00,9.866
27,5/11/2022 22:00,9.275
28,5/11/2022 23:00,8.978
29,5/12/2022 0:00,9.176
30,5/12/2022 1:00,9.176
31,5/12/2022 2:00,8.879
32,5/12/2022 3:00,8.779
33,5/12/2022 4:00,8.581
34,5/12/2022 5:00,8.581
35,5/12/2022 6:00,8.68
36,5/12/2022 7:00,11.236
37,5/12/2022 8:00,16.332
38,5/12/2022 9:00,18.616
39,5/12/2022 10:00,15.569
40,5/12/2022 11:00,14.421
41,5/12/2022 12:00,18.426
42,5/12/2022 13:00,18.426
43,5/12/2022 14:00,24.545
44,5/12/2022 15:00,25.708
45,5/12/2022 16:00,23.1
46,5/12/2022 17:00,22.717
47,5/12/2022 18:00,17.284
48,5/12/2022 19:00,14.23
49,5/12/2022 20:00,13.076
50,5/12/2022 21:00,12.11
51,5/12/2022 22:00,11.041
52,5/12/2022 23:00,10.553
53,5/13/2022 0:00,10.063
54,5/13/2022 1:00,9.669
55,5/13/2022 2:00,9.373
56,5/13/2022 3:00,9.275
57,5/13/2022 4:00,9.077
58,5/13/2022 5:00,8.978
59,5/13/2022 6:00,8.978
60,5/13/2022 7:00,11.528
61,5/13/2022 8:00,16.141
62,5/13/2022 9:00,19.092
63,5/13/2022 10:00,17.379
64,5/13/2022 11:00,15.951
65,5/13/2022 12:00,18.996
66,5/13/2022 13:00,19.092
67,5/13/2022 14:00,24.641
68,5/13/2022 15:00,25.708
69,5/13/2022 16:00,22.717
70,5/13/2022 17:00,23.1
71,5/13/2022 18:00,18.521
72,5/13/2022 19:00,15.378
73,5/13/2022 20:00,14.804
74,5/13/2022 21:00,13.942
75,5/13/2022 22:00,12.69
76,5/13/2022 23:00,11.528
77,5/14/2022 0:00,10.846
78,5/14/2022 1:00,10.455
79,5/14/2022 2:00,10.063
80,5/14/2022 3:00,9.866
81,5/14/2022 4:00,9.669
82,5/14/2022 5:00,9.472
83,5/14/2022 6:00,9.472
84,5/14/2022 7:00,12.401
85,5/14/2022 8:00,16.999
86,5/14/2022 9:00,20.805
87,5/14/2022 10:00,18.331
88,5/14/2022 11:00,16.237
89,5/14/2022 12:00,19.948
90,5/14/2022 13:00,19.662
91,5/14/2022 14:00,25.222
92,5/14/2022 15:00,25.513
93,5/14/2022 16:00,22.429
94,5/14/2022 17:00,22.621
95,5/14/2022 18:00,18.901
96,5/14/2022 19:00,15.76
97,5/14/2022 20:00,14.996
98,5/14/2022 21:00,14.325
99,5/14/2022 22:00,13.461
100,5/14/2022 23:00,12.594
101,5/15/2022 0:00,11.819
102,5/15/2022 1:00,11.431
103,5/15/2022 2:00,11.139
104,5/15/2022 3:00,10.944
105,5/15/2022 4:00,10.846
106,5/15/2022 5:00,10.748
107,5/15/2022 6:00,10.944
108,5/15/2022 7:00,13.846
109,5/15/2022 8:00,18.14
110,5/15/2022 9:00,20.901
111,5/15/2022 10:00,18.426
112,5/15/2022 11:00,16.999
113,5/15/2022 12:00,19.853
114,5/15/2022 13:00,19.472
115,5/15/2022 14:00,24.931
116,5/15/2022 15:00,25.61
117,5/15/2022 16:00,23.966
118,5/15/2022 17:00,22.621
119,5/15/2022 18:00,18.901
120,5/15/2022 19:00,15.951
121,5/15/2022 20:00,14.709
122,5/15/2022 21:00,13.173
123,5/15/2022 22:00,13.461
124,5/15/2022 23:00,13.461
125,5/16/2022 0:00,13.461
126,5/16/2022 1:00,13.365
127,5/16/2022 2:00,12.98
128,5/16/2022 3:00,12.304
129,5/16/2022 4:00,11.722
130,5/16/2022 5:00,11.334
131,5/16/2022 6:00,11.334
132,5/16/2022 7:00,14.613
133,5/16/2022 8:00,18.331
134,5/16/2022 9:00,21.091
135,5/16/2022 10:00,18.331
136,5/16/2022 11:00,16.713
137,5/16/2022 12:00,20.043
138,5/16/2022 13:00,19.567
139,5/16/2022 14:00,24.641
140,5/16/2022 15:00,24.158
141,5/16/2022 16:00,23.388
142,5/16/2022 17:00,22.812
143,5/16/2022 18:00,19.472
144,5/16/2022 19:00,16.046
145,5/16/2022 20:00,14.613
146,5/16/2022 21:00,13.461
147,5/16/2022 22:00,13.365
148,5/16/2022 23:00,13.076
149,5/17/2022 0:00,12.497
150,5/17/2022 1:00,11.722
151,5/17/2022 2:00,11.528
152,5/17/2022 3:00,11.334
153,5/17/2022 4:00,11.236
154,5/17/2022 5:00,11.139
155,5/17/2022 6:00,11.334
156,5/17/2022 7:00,14.517
157,5/17/2022 8:00,17.95
158,5/17/2022 9:00,21.187
159,5/17/2022 10:00,18.236
160,5/17/2022 11:00,17.284
161,5/17/2022 12:00,20.329
162,5/17/2022 13:00,19.853
163,5/17/2022 14:00,24.448
164,5/17/2022 15:00,24.641
165,5/17/2022 16:00,24.062
166,5/17/2022 17:00,23.292
167,5/17/2022 18:00,20.043
168,5/17/2022 19:00,16.427
169,5/17/2022 20:00,15.091
170,5/17/2022 21:00,13.942
171,5/17/2022 22:00,13.654
172,5/17/2022 23:00,13.365
173,5/18/2022 0:00,12.883
174,5/18/2022 1:00,12.304
175,5/18/2022 2:00,11.722
176,5/18/2022 3:00,11.625
177,5/18/2022 4:00,11.431
178,5/18/2022 5:00,11.334
179,5/18/2022 6:00,11.431
180,5/18/2022 7:00,14.421
181,5/18/2022 8:00,18.045
182,5/18/2022 9:00,21.091
183,5/18/2022 10:00,18.901
184,5/18/2022 11:00,17.57
185,5/18/2022 12:00,20.615
186,5/18/2022 13:00,20.805
187,5/18/2022 14:00,24.931
188,5/18/2022 15:00,24.448
189,5/18/2022 16:00,23.869
190,5/18/2022 17:00,23.292
191,5/18/2022 18:00,20.043
192,5/18/2022 19:00,16.618
193,5/18/2022 20:00,15.187
194,5/18/2022 21:00,14.325
195,5/18/2022 22:00,14.038
196,5/18/2022 23:00,13.75
197,5/19/2022 0:00,13.365
198,5/19/2022 1:00,12.787
199,5/19/2022 2:00,12.207
200,5/19/2022 3:00,11.722
201,5/19/2022 4:00,11.625
202,5/19/2022 5:00,11.431
203,5/19/2022 6:00,11.528
204,5/19/2022 7:00,14.517
205,5/19/2022 8:00,18.045
206,5/19/2022 9:00,21.091
207,5/19/2022 10:00,18.996
208,5/19/2022 11:00,17.665
209,5/19/2022 12:00,20.138
210,5/19/2022 13:00,20.043
211,5/19/2022 14:00,24.255
212,5/19/2022 15:00,22.525
213,5/19/2022 16:00,20.901
214,5/19/2022 17:00,19.853
215,5/19/2022 18:00,17.475
216,5/19/2022 19:00,15.569
217,5/19/2022 20:00,14.325
218,5/19/2022 21:00,13.173
219,5/19/2022 22:00,12.497
220,5/19/2022 23:00,12.304
221,5/20/2022 0:00,12.401
222,5/20/2022 1:00,12.497
223,5/20/2022 2:00,12.207
224,5/20/2022 3:00,11.916
225,5/20/2022 4:00,11.625
226,5/20/2022 5:00,11.236
227,5/20/2022 6:00,11.041
228,5/20/2022 7:00,13.558
229,5/20/2022 8:00,17.189
230,5/20/2022 9:00,19.567
231,5/20/2022 10:00,17.76
232,5/20/2022 11:00,16.523
233,5/20/2022 12:00,19.567
234,5/20/2022 13:00,19.662
235,5/20/2022 14:00,23.677
236,5/20/2022 15:00,23.388
237,5/20/2022 16:00,23.484
238,5/20/2022 17:00,22.812
239,5/20/2022 18:00,19.567
240,5/20/2022 19:00,15.664
241,5/20/2022 20:00,14.23
242,5/20/2022 21:00,13.076
243,5/20/2022 22:00,12.497
244,5/20/2022 23:00,12.207
245,5/21/2022 0:00,12.594
246,5/21/2022 1:00,12.69
247,5/21/2022 2:00,12.594
248,5/21/2022 3:00,12.207
249,5/21/2022 4:00,11.916
250,5/21/2022 5:00,12.013
251,5/21/2022 6:00,12.11
252,5/21/2022 7:00,14.613
253,5/21/2022 8:00,17.379
254,5/21/2022 9:00,18.236
255,5/21/2022 10:00,18.426
256,5/21/2022 11:00,17.189
257,5/21/2022 12:00,20.519
258,5/21/2022 13:00,20.329
259,5/21/2022 14:00,24.158
260,5/21/2022 15:00,23.869
261,5/21/2022 16:00,23.869
262,5/21/2022 17:00,23.388
263,5/21/2022 18:00,20.138
264,5/21/2022 19:00,16.332
265,5/21/2022 20:00,14.709
266,5/21/2022 21:00,13.461
267,5/21/2022 22:00,13.076
268,5/21/2022 23:00,12.883
269,5/22/2022 0:00,12.69
270,5/22/2022 1:00,12.304
271,5/22/2022 2:00,11.916
272,5/22/2022 3:00,11.528
273,5/22/2022 4:00,11.431
274,5/22/2022 5:00,11.236
275,5/22/2022 6:00,11.431
276,5/22/2022 7:00,14.421
277,5/22/2022 8:00,18.045
278,5/22/2022 9:00,21.187
279,5/22/2022 10:00,19.282
280,5/22/2022 11:00,17.665
281,5/22/2022 12:00,20.329
282,5/22/2022 13:00,20.615
283,5/22/2022 14:00,24.545
284,5/22/2022 15:00,23.388
285,5/22/2022 16:00,23.292
286,5/22/2022 17:00,22.333
287,5/22/2022 18:00,19.567
288,5/22/2022 19:00,15.951
289,5/22/2022 20:00,14.517
290,5/22/2022 21:00,13.269
291,5/22/2022 22:00,12.304
292,5/22/2022 23:00,12.594
293,5/23/2022 0:00,12.787
294,5/23/2022 1:00,12.69
295,5/23/2022 2:00,12.497
296,5/23/2022 3:00,12.11
297,5/23/2022 4:00,11.819
298,5/23/2022 5:00,11.528
299,5/23/2022 6:00,11.625
300,5/23/2022 7:00,14.517
301,5/23/2022 8:00,17.855
302,5/23/2022 9:00,20.996
