Date_Time,Unit,Value
12/14/2021 12:21,C,24.656
12/14/2021 14:01,C,20.153
12/14/2021 15:41,C,20.654
12/14/2021 17:21,C,20.153
12/14/2021 19:01,C,18.651
12/14/2021 20:41,C,18.15
12/14/2021 22:21,C,17.148
12/15/2021 0:01,C,16.146
12/15/2021 1:41,C,15.143
12/15/2021 3:21,C,14.14
12/15/2021 5:01,C,13.137
12/15/2021 6:41,C,12.636
12/15/2021 8:21,C,13.137
12/15/2021 10:01,C,17.148
12/15/2021 11:41,C,19.652
12/15/2021 13:21,C,21.154
12/15/2021 15:01,C,4.098
12/15/2021 16:41,C,2.086
12/15/2021 18:21,C,1.583
12/15/2021 20:01,C,1.583
12/15/2021 21:41,C,0.577
12/15/2021 23:21,C,0.073
12/16/2021 1:01,C,-0.933
12/16/2021 2:41,C,-1.94
12/16/2021 4:21,C,-2.444
12/16/2021 6:01,C,-2.948
12/16/2021 7:41,C,-3.452
12/16/2021 9:21,C,-2.948
12/16/2021 11:01,C,-1.437
12/16/2021 12:41,C,0.577
12/16/2021 14:21,C,1.583
12/16/2021 16:01,C,2.086
12/16/2021 17:41,C,2.086
12/16/2021 19:21,C,2.086
12/16/2021 21:01,C,2.589
12/16/2021 22:41,C,2.086
12/17/2021 0:21,C,1.583
12/17/2021 2:01,C,1.08
12/17/2021 3:41,C,0.577
12/17/2021 5:21,C,-0.43
12/17/2021 7:01,C,-0.933
12/17/2021 8:41,C,-1.437
12/17/2021 10:21,C,-0.43
12/17/2021 12:01,C,0.577
12/17/2021 13:41,C,1.08
12/17/2021 15:21,C,2.086
12/17/2021 17:01,C,2.086
12/17/2021 18:41,C,2.086
12/17/2021 20:21,C,1.583
12/17/2021 22:01,C,1.583
12/17/2021 23:41,C,1.583
12/18/2021 1:21,C,1.08
12/18/2021 3:01,C,0.577
12/18/2021 4:41,C,0.073
12/18/2021 6:21,C,0.073
12/18/2021 8:01,C,-0.43
12/18/2021 9:41,C,-0.43
12/18/2021 11:21,C,0.577
12/18/2021 13:01,C,1.08
12/18/2021 14:41,C,1.583
12/18/2021 16:21,C,2.086
12/18/2021 18:01,C,1.583
